IGN,YEAR,POS,NAT,TEAM,BIRTH,CHAMP1,CHAMP2,CHAMP3,LEAGUE
HARO,21,Jungler,China,Rogue Warriors,1998-07-21,Graves,Udyr,Lillia,LPL
FORGE,21,Mid Laner,China,Rogue Warriors,2000-09-01,Sylas,LeBlanc,Zoe,LPL
KELIN,21,Bot Laner,China,Rogue Warriors,,Kai'Sa,Aphelios,Tristana,LPL
MICHI,21,Support,China,Rogue Warriors,,Samira,Kai'Sa,Karma,LPL
BETTY,21,Bot Laner,Taiwan,Rogue Warriors,2000-01-16,Aphelios,Varus,Jhin,LPL
QIUQIU,21,Support,China,Rogue Warriors,1998-04-17,Leona,Sett,Rakan,LPL
REHEAL,21,Support,China,Rogue Warriors,1999-02-13,Alistar,Rell,Nautilus,LPL
KAIXUAN,21,Support,China,Rogue Warriors,,Alistar,Gragas,Sett,LPL
XIAOHU,21,Mid Laner,China,Royal Never Give Up,1998-01-28,Gnar,Lucian,Gragas,LPL
WEI,21,Jungler,China,Royal Never Give Up,2002-11-09,Udyr,Olaf,Xin Zhao,LPL
CRYIN,21,Mid Laner,China,Royal Never Give Up,2000-11-05,Orianna,Twisted Fate,Viktor,LPL
GALA,21,Bot Laner,China,Royal Never Give Up,2001-02-14,Kai'Sa,Varus,Xayah,LPL
MING,21,Support,China,Royal Never Give Up,1998-12-22,Nautilus,Alistar,Leona,LPL
BIN,21,Top Laner,China,Suning,2003-09-28,Gnar,Camille,Gwen,LPL
SOFM,21,Jungler,China,Suning,1998-02-05,Lee Sin,Olaf,Udyr,LPL
ANGEL,21,Mid Laner,China,Suning,2000-09-16,Twisted Fate,Sylas,Azir,LPL
HUANFENG,21,Bot Laner,China,Suning,2001-05-20,Kai'Sa,Jinx,Varus,LPL
ON,21,Support,China,Suning,2003-05-12,Rell,Alistar,Nautilus,LPL
BREATHE,21,Top Laner,China,Team WE,2001-02-19,Jayce,Gwen,Renekton,LPL
BEISHANG,21,Jungler,China,Team WE,2000-10-15,Olaf,Udyr,Xin Zhao,LPL
SHANKS,21,Mid Laner,China,Team WE,2001-03-15,Ryze,Sylas,Orianna,LPL
YIMENG,21,Mid Laner,China,Team WE,2000-11-14,Ryze,Zoe,LeBlanc,LPL
JIUMENG,21,Bot Laner,China,Team WE,2001-09-29,Ezreal,Kai'Sa,Jinx,LPL
MISSING,21,Support,China,Team WE,2001-05-26,Alistar,Thresh,Leona,LPL
CHELIZI,21,Top Laner,China,ThunderTalk Gaming,2000-03-28,Renekton,Gnar,Ornn,LPL
BLESS,21,Jungler,China,ThunderTalk Gaming,2000-11-14,Olaf,Graves,Taliyah,LPL
XIAOPENG,21,Jungler,China,ThunderTalk Gaming,1997-12-01,Lee Sin,Olaf,Udyr,LPL
CAPTAIN,21,Mid Laner,China,ThunderTalk Gaming,1999-08-08,Twisted Fate,LeBlanc,Jayce,LPL
TWILA,21,Mid Laner,China,ThunderTalk Gaming,1998-12-07,Azir,Orianna,Syndra,LPL
SAMD,21,Bot Laner,China,ThunderTalk Gaming,2001-03-14,Kai'Sa,Ezreal,Varus,LPL
TEEEN,21,Support,China,ThunderTalk Gaming,2001-07-19,Alistar,Leona,Gragas,LPL
369,21,Top Laner,China,Top Esports,2001-07-12,Jayce,Camille,Gangplank,LPL
KARSA,21,Jungler,China,Top Esports,1997-02-14,Olaf,Diana,Hecarim,LPL
KNIGHT,21,Mid Laner,China,Top Esports,2000-05-22,Orianna,Sylas,Zoe,LPL
JACKEYLOVE,21,Bot Laner,China,Top Esports,2000-11-18,Aphelios,Tristana,Jinx,LPL
ZHUO,21,Support,China,Top Esports,2001-02-13,Thresh,Leona,Alistar,LPL
LANGX,21,Top Laner,China,Victory Five,1997-09-19,Gnar,Renekton,Camille,LPL
AODI,21,Top Laner,China,Victory Five,2000-05-28,Camille,Jayce,Gwen,LPL
INVINCIBLE,21,Top Laner,China,Victory Five,2001-01-30,Camille,Renekton,Aatrox,LPL
WEIWEI,21,Jungler,China,Victory Five,2000-08-14,Udyr,Olaf,Xin Zhao,LPL
MOLE,21,Mid Laner,China,Victory Five,2000-09-10,Zoe,Ryze,Syndra,LPL
Y4,21,Bot Laner,China,Victory Five,1998-02-19,Jhin,Kai'Sa,Miss Fortune,LPL
TRIGGER,21,Bot Laner,China,Victory Five,2000-10-10,Kai'Sa,Xayah,Samira,LPL
PPGOD,21,Support,China,Victory Five,2000-03-31,Leona,Rell,Thresh,LPL
KORO1,16,Top Laner,China,EDward Gaming,1994-05-02,Poppy,Nautilus,Trundle,LPL
CLEARLOVE,16,Jungler,China,EDward Gaming,1993-07-25,Graves,Gragas,Rek'Sai,LPL
FIRELOLI,16,Jungler,China,EDward Gaming,1996-05-28,Graves,Rek'Sai,Elise,LPL
PAWN,16,Mid Laner,South Korea,EDward Gaming,1997-01-26,Twisted Fate,Lulu,LeBlanc,LPL
ATHENA,16,Mid Laner,South Korea,EDward Gaming,1995-10-19,Kassadin,Malzahar,Varus,LPL
DEFT,16,Bot Laner,South Korea,EDward Gaming,1996-10-23,Sivir,Ezreal,Ashe,LPL
MEIKO,16,Support,China,EDward Gaming,1998-06-06,Braum,Alistar,Thresh,LPL
GIMGOON,16,Top Laner,South Korea,Energy Pacemaker.All,1995-12-31,Ekko,Poppy,Gnar,LPL
RABBIT97,16,Jungler,China,Energy Pacemaker.All,1997-04-19,Graves,Elise,Rek'Sai,LPL
CRISIS,16,Jungler,China,Energy Pacemaker.All,1997-06-20,Gragas,Graves,Kindred,LPL
REPUBLIC,16,Mid Laner,South Korea,Energy Pacemaker.All,1996-08-16,Azir,LeBlanc,Viktor,LPL
ROMANTIC,16,Bot Laner,China,Energy Pacemaker.All,1993-08-03,Lucian,Kalista,Ezreal,LPL
MOON,16,Bot Laner,China,Energy Pacemaker.All,,Lucian,Sivir,Kalista,LPL
JIEZOU,16,Support,China,Energy Pacemaker.All,,Braum,Alistar,Karma,LPL
SOUL,16,Support,China,Energy Pacemaker.All,1996-11-05,Braum,Alistar,Bard,LPL
SS17GOD,16,Top Laner,China,Hyper Youth Gaming,1993-02-06,Poppy,Maokai,Shen,LPL
MARCH,16,Jungler,China,Hyper Youth Gaming,1995-03-15,Rek'Sai,Graves,Elise,LPL
CHIMIN,16,Jungler,South Korea,Hyper Youth Gaming,,Graves,Gragas,Kindred,LPL
GOSU,16,Mid Laner,South Korea,Hyper Youth Gaming,1988-07-19,Corki,Lulu,Ryze,LPL
XQ,16,Bot Laner,China,Hyper Youth Gaming,,Lucian,Kalista,Jhin,LPL
X1U,16,Support,China,Hyper Youth Gaming,,Thresh,Alistar,Braum,LPL
ZZ1TAI,16,Top Laner,China,Invictus Gaming,1997-08-25,Poppy,Trundle,Fiora,LPL
KID,16,Jungler,China,Invictus Gaming,1997-08-23,Gragas,Graves,Elise,LPL
ROOKIE,16,Mid Laner,South Korea,Invictus Gaming,1997-03-11,Viktor,Corki,LeBlanc,LPL
TIME,16,Bot Laner,China,Invictus Gaming,,Kalista,Lucian,Ezreal,LPL
RAIN,16,Bot Laner,South Korea,Invictus Gaming,1996-08-30,Sivir,Ezreal,Lucian,LPL
KITTIES,16,Support,China,Invictus Gaming,1992-09-03,Braum,Alistar,Trundle,LPL
MARIN,16,Top Laner,South Korea,LGD Gaming,1991-02-12,Gnar,Rumble,Maokai,LPL
ACORN,16,Top Laner,South Korea,LGD Gaming,1990-07-13,Rumble,Swain,Irelia,LPL
EIMY,16,Jungler,China,LGD Gaming,1996-01-08,Elise,Gragas,Kindred,LPL
XIAOXI,16,Jungler,China,LGD Gaming,1996-09-17,Rek'Sai,Dr. Mundo,Kindred,LPL
YU,16,Jungler,China,LGD Gaming,1990-08-10,Nidalee,Braum,Alistar,LPL
WE1LESS,16,Mid Laner,China,LGD Gaming,1997-07-16,Kassadin,Orianna,Azir,LPL
IMP,16,Bot Laner,South Korea,LGD Gaming,1995-06-07,Sivir,Lucian,Twitch,LPL
PYL,16,Support,China,LGD Gaming,1994-11-06,Braum,Thresh,Alistar,LPL
XY,16,Top Laner,China,Masters 3,,Maokai,Trundle,Nautilus,LPL
LAZARUS,16,Top Laner,South Korea,Masters 3,1994-12-15,Nautilus,0,0,LPL
YOLO,16,Jungler,South Korea,Masters 3,,Graves,Elise,Gragas,LPL
SCENERY,16,Jungler,China,Masters 3,1998-09-12,Graves,Rek'Sai,Elise,LPL
RAPHAEL,16,Mid Laner,South Korea,Masters 3,,Viktor,Corki,Lulu,LPL
PENTAQ,16,Bot Laner,China,Masters 3,1995-10-11,Lucian,Ezreal,Jhin,LPL
SAVOKI,16,Support,China,Masters 3,,Trundle,Braum,Tahm Kench,LPL
CITY,16,Support,China,Masters 3,,Braum,Alistar,Thresh,LPL
DARK,16,Top Laner,China,Oh My God,1997-10-12,Lissandra,Ekko,Fiora,LPL
XIYANG,16,Top Laner,China,Oh My God,1994-05-18,Maokai,Poppy,Nautilus,LPL
FISHBALL,16,Jungler,China,Oh My God,1996-12-17,Lee Sin,Rek'Sai,Elise,LPL
QUAN,16,Jungler,China,Oh My God,1996-08-27,Gragas,Graves,Lee Sin,LPL
COOL,16,Mid Laner,China,Oh My God,1994-08-03,Azir,Twisted Fate,Ahri,LPL
ICON,16,Mid Laner,China,Oh My God,1996-05-22,LeBlanc,Azir,Viktor,LPL
S1MLZ,16,Bot Laner,China,Oh My God,1997-09-24,Jhin,Sivir,Lucian,LPL
BEI,16,Bot Laner,China,Oh My God,,Sivir,Ezreal,Lucian,LPL
FIVE,16,Support,China,Oh My God,1997-02-01,Thresh,Braum,Alistar,LPL
LUO,16,Support,China,Oh My God,1994-07-31,Braum,Bard,Thresh,LPL
V,16,Top Laner,China,Qiao Gu Reapers,1994-10-25,Poppy,Maokai,Fiora,LPL
SWIFT,16,Jungler,South Korea,Qiao Gu Reapers,1996-05-29,Rek'Sai,Graves,Nidalee,LPL
DOINB,16,Mid Laner,South Korea,Qiao Gu Reapers,1996-12-30,Viktor,LeBlanc,Karma,LPL
BORISAL,16,Mid Laner,South Korea,Qiao Gu Reapers,1996-07-08,Ryze,Corki,Ahri,LPL
MORTRED,16,Mid Laner,China,Qiao Gu Reapers,,Viktor,Corki,LeBlanc,LPL
PECO,16,Bot Laner,China,Qiao Gu Reapers,1994-05-11,Sivir,Ezreal,Jhin,LPL
UZI,16,Bot Laner,China,Qiao Gu Reapers,1997-04-05,Ezreal,Sivir,Lucian,LPL
MOR,16,Support,China,Qiao Gu Reapers,1993-01-18,Braum,Alistar,Bard,LPL
LOOPER,16,Top Laner,South Korea,Royal Never Give Up,1993-02-28,Poppy,Maokai,Trundle,LPL
LETME,16,Top Laner,China,Royal Never Give Up,1996-05-18,Maokai,Shen,Gnar,LPL
MLXG,16,Jungler,China,Royal Never Give Up,1996-05-01,Graves,Rek'Sai,Nidalee,LPL
INSEC,16,Jungler,South Korea,Royal Never Give Up,1993-06-29,Graves,Rek'Sai,Nidalee,LPL
XIAOHU,16,Mid Laner,China,Royal Never Give Up,1998-01-28,Azir,Viktor,LeBlanc,LPL
SASK,16,Mid Laner,China,Royal Never Give Up,1995-09-29,Ekko,Fizz,0,LPL
WUXX,16,Bot Laner,China,Royal Never Give Up,1996-01-10,Lucian,Kalista,Tristana,LPL
NAMEI,16,Bot Laner,China,Royal Never Give Up,1993-05-04,Sivir,Lucian,Kalista,LPL
MATA,16,Support,South Korea,Royal Never Give Up,1994-02-27,Braum,Alistar,Karma,LPL
LEY,16,Support,China,Royal Never Give Up,1997-06-15,Alistar,Thresh,Braum,LPL
FLANDRE,16,Top Laner,China,Snake Esports,1998-08-28,Poppy,Ekko,Gnar,LPL
ZZR,16,Jungler,China,Snake Esports,1996-12-08,Elise,Rek'Sai,Nidalee,LPL
TANK,16,Mid Laner,South Korea,Snake Esports,1995-11-18,Lissandra,Azir,Viktor,LPL
MARTIN,16,Bot Laner,China,Snake Esports,1997-07-12,Jhin,Ezreal,Sivir,LPL
KRYST4L,16,Bot Laner,China,Snake Esports,1994-02-02,Sivir,Lucian,Kalista,LPL
ELLA,16,Support,South Korea,Snake Esports,1995-02-05,Alistar,Trundle,Braum,LPL
957,16,Top Laner,China,Team WE,1993-09-21,Maokai,Nautilus,Lissandra,LPL
CONDI,16,Jungler,China,Team WE,1996-11-07,Graves,Rek'Sai,Gragas,LPL
XIYE,16,Mid Laner,China,Team WE,1997-08-06,LeBlanc,Corki,Azir,LPL
MYSTIC,16,Bot Laner,South Korea,Team WE,1995-01-08,Ezreal,Sivir,Lucian,LPL
ZERO,16,Support,South Korea,Team WE,1994-07-16,Braum,Bard,Alistar,LPL
LOONG,16,Top Laner,China,Vici Gaming,1995-11-01,Poppy,Ekko,Trundle,LPL
DANDY,16,Jungler,South Korea,Vici Gaming,1994-01-03,Graves,Rek'Sai,Nidalee,LPL
EASYHOON,16,Mid Laner,South Korea,Vici Gaming,1992-11-23,Lissandra,Viktor,Lulu,LPL
ENDLESS,16,Bot Laner,China,Vici Gaming,1998-01-20,Lucian,Kalista,Ashe,LPL
CAVEMAN,16,Support,China,Vici Gaming,1996-02-25,Braum,Alistar,Bard,LPL
MOUSE,17,Top Laner,China,EDward Gaming,1996-10-08,Maokai,Gragas,Renekton,LPL
KORO1,17,Top Laner,China,EDward Gaming,1994-05-02,Renekton,Galio,Fizz,LPL
MINN,17,Top Laner,China,EDward Gaming,1997-12-17,Rumble,Poppy,Renekton,LPL
FIRELOLI,17,Jungler,China,EDward Gaming,1996-05-28,Lee Sin,Kha'Zix,Graves,LPL
CLEARLOVE,17,Jungler,China,EDward Gaming,1993-07-25,Rek'Sai,Kha'Zix,Sejuani,LPL
SCOUT,17,Mid Laner,South Korea,EDward Gaming,1998-03-14,Taliyah,Syndra,LeBlanc,LPL
ZET,17,Bot Laner,South Korea,EDward Gaming,1997-08-21,Ashe,Varus,Caitlyn,LPL
MEIKO,17,Support,China,EDward Gaming,1998-06-06,Braum,Lulu,Alistar,LPL
GIMGOON,17,Top Laner,South Korea,Game Talents,1995-12-31,Kled,Rumble,Fiora,LPL
WUSHUANG,17,Jungler,China,Game Talents,,Kha'Zix,Lee Sin,Malzahar,LPL
XIAOYU,17,Jungler,China,Game Talents,1995-02-18,Sejuani,Rek'Sai,Rengar,LPL
REPUBLIC,17,Mid Laner,South Korea,Game Talents,1996-08-16,Ryze,Orianna,Viktor,LPL
XUBIN,17,Bot Laner,China,Game Talents,,Caitlyn,Jhin,Varus,LPL
WEST,17,Bot Laner,China,Game Talents,1997-03-08,Caitlyn,Ashe,Xayah,LPL
PENTAQ,17,Bot Laner,China,Game Talents,1995-10-11,Ashe,Ezreal,0,LPL
SAVOKI,17,Support,China,Game Talents,,Malzahar,Tahm Kench,Lulu,LPL
SOULMATE,17,Support,China,Game Talents,1996-11-05,Malzahar,Karma,Zyra,LPL
AMAZINGJ,17,Top Laner,Hong Kong,I May,1997-11-08,Camille,Jarvan IV,Kled,LPL
BEN4,17,Jungler,China,I May,1998-01-01,Lee Sin,Elise,Kha'Zix,LPL
FLAWLESS,17,Jungler,South Korea,I May,1998-07-26,Elise,Graves,Jarvan IV,LPL
ATHENA,17,Mid Laner,South Korea,I May,1995-10-19,Orianna,Taliyah,Corki,LPL
JINJIAO,17,Bot Laner,China,I May,1998-04-15,Caitlyn,Ashe,Varus,LPL
ROAD,17,Support,South Korea,I May,1995-09-30,Thresh,Lulu,Braum,LPL
STARLIGHT,17,Support,China,I May,1996-09-27,Braum,Lulu,Tahm Kench,LPL
DUKE,17,Top Laner,South Korea,Invictus Gaming,1994-12-19,Shen,Maokai,Rumble,LPL
KIDKID,17,Jungler,China,Invictus Gaming,1997-08-23,Rengar,Gragas,Rek'Sai,LPL
RIO,17,Jungler,China,Invictus Gaming,,Graves,Lee Sin,Elise,LPL
ROOKIE,17,Mid Laner,South Korea,Invictus Gaming,1997-03-11,Orianna,Syndra,Cassiopeia,LPL
MARGE,17,Bot Laner,China,Invictus Gaming,1997-06-11,Varus,Ashe,Jhin,LPL
MEGAN,17,Support,China,Invictus Gaming,1999-07-16,Lulu,Braum,Tahm Kench,LPL
FUNNY,17,Top Laner,China,LGD Gaming,1998-09-16,Shen,Maokai,Camille,LPL
EIMY,17,Jungler,China,LGD Gaming,1996-01-08,Lee Sin,Rek'Sai,Elise,LPL
INTRUDER,17,Jungler,China,LGD Gaming,1994-08-14,Gragas,Lee Sin,Kha'Zix,LPL
GODV,17,Mid Laner,China,LGD Gaming,1997-07-16,Syndra,Viktor,Orianna,LPL
JINOO,17,Mid Laner,South Korea,LGD Gaming,1995-01-23,Rumble,Renekton,Fizz,LPL
IMP,17,Bot Laner,South Korea,LGD Gaming,1995-06-07,Sivir,Caitlyn,Kalista,LPL
PYL,17,Support,China,LGD Gaming,1994-11-06,Lulu,Karma,Thresh,LPL
V,17,Top Laner,China,Newbee,1994-10-25,Shen,Nautilus,Jarvan IV,LPL
SKYE,17,Top Laner,China,Newbee,,Rumble,Nautilus,Gnar,LPL
SWIFT,17,Jungler,South Korea,Newbee,1996-05-29,Lee Sin,Rengar,Gragas,LPL
COOL,17,Mid Laner,China,Newbee,1994-08-03,Orianna,Cassiopeia,Syndra,LPL
COCO,17,Mid Laner,South Korea,Newbee,1994-03-14,Corki,Jayce,Taliyah,LPL
LWX,17,Bot Laner,China,Newbee,1998-10-24,Caitlyn,Kog'Maw,Ezreal,LPL
HAPPY,17,Bot Laner,China,Newbee,1994-05-11,Jhin,Ashe,Ezreal,LPL
PINUS,17,Support,China,Newbee,1998-08-20,Braum,Lulu,Rakan,LPL
MOR,17,Support,China,Newbee,1993-01-18,Lulu,Braum,Karma,LPL
XIYANG,17,Top Laner,China,Oh My God,1994-05-18,Shen,Renekton,Jarvan IV,LPL
JUEJUE,17,Jungler,China,Oh My God,1998-09-12,Elise,Lee Sin,Graves,LPL
WORLD6,17,Jungler,China,Oh My God,1998-10-16,Lee Sin,Graves,Rengar,LPL
ICON,17,Mid Laner,China,Oh My God,1996-05-22,Syndra,Taliyah,Cassiopeia,LPL
SMLZ,17,Bot Laner,China,Oh My God,1997-09-24,Jhin,Caitlyn,Kog'Maw,LPL
FIVE,17,Support,China,Oh My God,1997-02-01,Lulu,Thresh,Nami,LPL
KABE,17,Top Laner,Hong Kong,QG Reapers,1994-10-12,Shen,Maokai,Nautilus,LPL
CLID,17,Jungler,South Korea,QG Reapers,1999-07-07,Lee Sin,Rengar,Kha'Zix,LPL
XINYI,17,Jungler,China,QG Reapers,1995-04-04,Gragas,Rek'Sai,Jarvan IV,LPL
DOINB,17,Mid Laner,South Korea,QG Reapers,1996-12-30,Karma,Ryze,Orianna,LPL
CANDYSEVEN,17,Bot Laner,China,QG Reapers,1996-01-21,Jhin,Sivir,Varus,LPL
ALONE,17,Bot Laner,China,QG Reapers,1998-01-11,Jhin,Varus,Kalista,LPL
LOKEN,17,Bot Laner,South Korea,QG Reapers,1998-02-14,Varus,Kalista,Caitlyn,LPL
CHEN,17,Bot Laner,China,QG Reapers,,Caitlyn,0,0,LPL
CLOUD,17,Support,China,QG Reapers,1994-07-29,Thresh,Bard,Malzahar,LPL
ALI,17,Support,China,Royal Never Give Up,,Nami,Lulu,Tahm Kench,LPL
DECEIT,17,Support,China,Royal Never Give Up,1997-07-31,Braum,Tahm Kench,Thresh,LPL
LETME,17,Top Laner,China,Royal Never Give Up,1996-05-18,Camille,Jarvan IV,Rumble,LPL
MLXG,17,Jungler,China,Royal Never Give Up,1996-05-01,Gragas,Sejuani,Elise,LPL
BAYBAY,17,Jungler,Taiwan,Royal Never Give Up,1996-11-29,Gragas,Kha'Zix,Elise,LPL
Y1HAN,17,Jungler,China,Royal Never Give Up,1999-07-02,Lee Sin,Jarvan IV,Kha'Zix,LPL
XIAOHU,17,Mid Laner,China,Royal Never Give Up,1998-01-28,Syndra,Ryze,Taliyah,LPL
UZI,17,Bot Laner,China,Royal Never Give Up,1997-04-05,Varus,Ashe,Ezreal,LPL
AGAIN,17,Bot Laner,China,Royal Never Give Up,1997-09-09,Varus,Jhin,Lucian,LPL
MING,17,Support,China,Royal Never Give Up,1998-12-22,Thresh,Karma,Braum,LPL
FLANDRE,17,Top Laner,China,Snake Esports,1998-08-28,Maokai,Jarvan IV,Rumble,LPL
SOFM,17,Jungler,Vietnam,Snake Esports,1998-02-05,Lee Sin,Gragas,Kha'Zix,LPL
ZZR,17,Jungler,China,Snake Esports,1996-12-08,Elise,0,0,LPL
TANK,17,Mid Laner,South Korea,Snake Esports,1995-11-18,Syndra,Viktor,Orianna,LPL
ZZ1TAI,17,Mid Laner,China,Snake Esports,1997-08-25,Orianna,Syndra,Viktor,LPL
MINT,17,Bot Laner,China,Snake Esports,1998-10-29,Varus,Ashe,Jhin,LPL
OHQ,17,Bot Laner,South Korea,Snake Esports,1996-09-05,Ashe,Varus,Kalista,LPL
KRYST4L,17,Support,China,Snake Esports,1994-02-02,Thresh,Lulu,Varus,LPL
MO,17,Support,China,Snake Esports,,Tahm Kench,Zyra,Karma,LPL
957,17,Top Laner,China,Team WE,1993-09-21,Maokai,Shen,Jarvan IV,LPL
CONDI,17,Jungler,China,Team WE,1996-11-07,Gragas,Lee Sin,Elise,LPL
XIYE,17,Mid Laner,China,Team WE,1997-08-06,Corki,LeBlanc,Taliyah,LPL
MYSTIC,17,Bot Laner,South Korea,Team WE,1995-01-08,Kog'Maw,Ashe,Xayah,LPL
ZERO,17,Support,South Korea,Team WE,1994-07-16,Alistar,Braum,Zyra,LPL
BEN,17,Support,South Korea,Team WE,1995-04-24,Lulu,Rakan,Braum,LPL
ONION,17,Top Laner,China,Vici Gaming,1999-06-17,Nautilus,0,0,LPL
LOONG,17,Top Laner,China,Vici Gaming,1995-11-01,Shen,Rumble,Kennen,LPL
BENGI,17,Jungler,South Korea,Vici Gaming,1993-11-21,Elise,Lee Sin,Graves,LPL
OCEAN,17,Jungler,China,Vici Gaming,,Graves,Rengar,0,LPL
EASYHOON,17,Mid Laner,South Korea,Vici Gaming,1992-11-23,Orianna,Syndra,Vladimir,LPL
PENG,17,Mid Laner,China,Vici Gaming,1995-11-25,Ekko,0,0,LPL
XUANXUANPI,17,Bot Laner,China,Vici Gaming,1997-10-22,Caitlyn,Varus,Kalista,LPL
ENDLESS,17,Bot Laner,China,Vici Gaming,1998-01-20,Ashe,Caitlyn,Jhin,LPL
HETONG,17,Support,China,Vici Gaming,1993-12-21,Karma,Lulu,Tahm Kench,LPL
CAVEMAN,17,Support,China,Vici Gaming,1996-02-25,Thresh,Tahm Kench,Braum,LPL
AMAZINGJ,18,Top Laner,Hong Kong,Bilibili Gaming,1997-11-08,Ornn,Gangplank,Dr. Mundo,LPL
SKS,18,Jungler,China,Bilibili Gaming,1998-04-19,Sejuani,Kha'Zix,Skarner,LPL
CHIEFTAIN,18,Jungler,South Korea,Bilibili Gaming,2000-11-16,Skarner,Rek'Sai,Sejuani,LPL
ATHENA,18,Mid Laner,South Korea,Bilibili Gaming,1995-10-19,Zoe,Azir,Ryze,LPL
MOLE,18,Mid Laner,China,Bilibili Gaming,2000-09-10,Zoe,Irelia,Yasuo,LPL
JINJIAO,18,Bot Laner,China,Bilibili Gaming,1998-04-15,Xayah,Varus,Ezreal,LPL
ROAD,18,Support,South Korea,Bilibili Gaming,1995-09-30,Rakan,Braum,Morgana,LPL
RAY,18,Top Laner,South Korea,EDward Gaming,1998-03-15,Ornn,Cho'Gath,Urgot,LPL
HARO,18,Jungler,China,EDward Gaming,1998-07-21,Sejuani,Lee Sin,Olaf,LPL
CLEARLOVE,18,Jungler,China,EDward Gaming,1993-07-25,Sejuani,Trundle,Nocturne,LPL
SCOUT,18,Mid Laner,South Korea,EDward Gaming,1998-03-14,Ryze,Azir,Zoe,LPL
IBOY,18,Bot Laner,China,EDward Gaming,2000-07-12,Kai'Sa,Varus,Xayah,LPL
HOPE,18,Bot Laner,China,EDward Gaming,2000-09-29,Kog'Maw,Kalista,Lucian,LPL
MEIKO,18,Support,China,EDward Gaming,1998-06-06,Tahm Kench,Rakan,Alistar,LPL
GIMGOON,18,Top Laner,South Korea,FunPlus Phoenix,1995-12-31,Gangplank,Vladimir,Cho'Gath,LPL
PEPPER,18,Jungler,China,FunPlus Phoenix,1999-07-02,Jarvan IV,Sejuani,Kha'Zix,LPL
BING,18,Mid Laner,China,FunPlus Phoenix,1994-10-07,Ryze,Taliyah,Azir,LPL
COOL,18,Mid Laner,China,FunPlus Phoenix,1994-08-03,Zoe,Irelia,Ryze,LPL
LWX,18,Bot Laner,China,FunPlus Phoenix,1998-10-24,Kai'Sa,Ezreal,Xayah,LPL
CRISP,18,Support,China,FunPlus Phoenix,1998-08-20,Alistar,Tahm Kench,Braum,LPL
DUKE,18,Top Laner,South Korea,Invictus Gaming,1994-12-19,Aatrox,Gangplank,Ornn,LPL
THESHY,18,Top Laner,South Korea,Invictus Gaming,1999-11-11,Gnar,Jayce,Gangplank,LPL
NING,18,Jungler,China,Invictus Gaming,1998-03-12,Camille,Sejuani,Gragas,LPL
KID,18,Jungler,China,Invictus Gaming,1997-08-23,Sejuani,0,0,LPL
ROOKIE,18,Mid Laner,South Korea,Invictus Gaming,1997-03-11,Orianna,Ryze,Galio,LPL
JACKEYLOVE,18,Bot Laner,China,Invictus Gaming,2000-11-18,Varus,Kai'Sa,Lucian,LPL
BAOLAN,18,Support,China,Invictus Gaming,1999-07-16,Braum,Tahm Kench,Alistar,LPL
ZOOM,18,Top Laner,China,JD Gaming,1997-07-27,Ornn,Gangplank,Gnar,LPL
CLID,18,Jungler,South Korea,JD Gaming,1999-07-07,Lee Sin,Zac,Camille,LPL
XIAOHAN,18,Jungler,China,JD Gaming,1999-08-04,Skarner,Kha'Zix,Sejuani,LPL
YAGAO,18,Mid Laner,China,JD Gaming,1998-10-19,Galio,Zoe,LeBlanc,LPL
LOKEN,18,Bot Laner,South Korea,JD Gaming,1998-02-14,Xayah,Ezreal,Varus,LPL
RD,18,Bot Laner,Taiwan,JD Gaming,1993-10-19,Varus,Kog'Maw,Xayah,LPL
LVMAO,18,Support,China,JD Gaming,1996-03-07,Tahm Kench,Alistar,Rakan,LPL
JINOO,18,Top Laner,Taiwan,LGD Gaming,1995-01-23,Gangplank,Camille,Gnar,LPL
EIMY,18,Jungler,South Korea,LGD Gaming,1996-01-08,Jarvan IV,Sejuani,Nocturne,LPL
1NTRUDER,18,Jungler,China,LGD Gaming,1994-08-14,Olaf,Jarvan IV,Kha'Zix,LPL
YUUKI,18,Mid Laner,China,LGD Gaming,1999-12-14,Zoe,Ryze,Yasuo,LPL
NANZHU,18,Mid Laner,China,LGD Gaming,1998-01-23,Malzahar,Ryze,Taliyah,LPL
IMP,18,Bot Laner,South Korea,LGD Gaming,1995-06-07,Varus,Ezreal,Caitlyn,LPL
FDY,18,Bot Laner,China,LGD Gaming,1999-07-08,Xayah,Varus,Ezreal,LPL
PYL,18,Support,China,LGD Gaming,1994-11-06,Tahm Kench,Braum,Alistar,LPL
XIYANG,18,Top Laner,China,Oh My God,1994-05-18,Ornn,Gnar,Gangplank,LPL
CASUAL,18,Top Laner,China,Oh My God,2000-03-25,Aatrox,Urgot,0,LPL
WORLD6,18,Jungler,China,Oh My God,1998-10-16,Sejuani,Kindred,Skarner,LPL
FIRELOLI,18,Jungler,China,Oh My God,1996-05-28,Sejuani,Camille,Jarvan IV,LPL
JIEKOU,18,Jungler,China,Oh My God,1997-09-04,Trundle,Camille,Taliyah,LPL
ICON,18,Mid Laner,China,Oh My God,1996-05-22,Ryze,Zoe,Azir,LPL
CHELLY,18,Bot Laner,China,Oh My God,1998-08-27,Varus,Ezreal,Kai'Sa,LPL
FIVE,18,Support,China,Oh My God,1997-02-01,Alistar,Rakan,Braum,LPL
MAESTR0,18,Support,China,Oh My God,1998-04-24,Tahm Kench,Braum,Alistar,LPL
